,index,month,year,center_name,wholesale,retail,total_arrival,culture,type
156,156,June,2013,GUWAHATI,1469,2136,3410,onion,onion
157,157,June,2013,HYDERABAD,1145,1745,6520,onion,onion
158,158,June,2013,JAIPUR,1061,1737,14306,onion,onion
159,159,June,2013,JAMMU,1352,1772,1870,onion,onion
160,160,June,2013,KOLKATA ,1662,2356,21100,onion,onion
161,161,June,2013,LASALGAON,1336,1575,6520,onion,onion
162,162,June,2013,LUCKNOW,1116,1496,668,onion,onion
163,163,June,2013,MUMBAI,1422,2000,19130,onion,onion
164,164,June,2013,NAGPUR,1378,2033,5440,onion,onion
165,165,June,2013,NASIK,1376,1632,3725,onion,onion
166,166,June,2013,PATNA,1322,1852,1010,onion,onion
167,167,June,2013,PIMPALGAON,1366,1602,5005,onion,onion
168,168,June,2013,PUNE ,1314,1824,49002,onion,onion
169,169,June,2013,RAIPUR,1350,1985,649,onion,onion
170,170,June,2013,RANCHI,1301,1642,4580,onion,onion
171,171,June,2013,SHIMLA,1650,2071,275,onion,onion
172,172,June,2013,SRINAGAR ,1744,2248,3293,onion,onion
173,173,June,2013,TRIVENDRUM,2007,2667,481,onion,onion
174,174,July,2013,AHMEDABAD,2044,2559,11588,onion,onion
175,175,July,2013,AMRITSAR,1855,3043,2735,onion,onion
176,176,July,2013,BANGALURU,2319,2922,36471,onion,onion
177,177,July,2013,BARAUT,1987,2393,47,onion,onion
178,178,July,2013,BHOPAL,1924,2319,1421,onion,onion
179,179,July,2013,BHUBANESHWAR,2523,2975,3491,onion,onion
180,180,July,2013,CHANDIGARH,1808,2758,1770,onion,onion
181,181,July,2013,CHENNAI,2756,3433,11940,onion,onion
182,182,July,2013,DEHRADUN,1942,2911,753,onion,onion
183,183,July,2013,DELHI,2154,2844,24514,onion,onion
184,184,July,2013,GANGATOK,1374,1630,64,onion,onion
185,185,July,2013,GUWAHATI,2320,3014,1573,onion,onion
186,186,July,2013,HYDERABAD,1675,2367,10750,onion,onion
187,187,July,2013,JAIPUR,1570,2817,8495,onion,onion
188,188,July,2013,JAMMU,2369,3033,1053,onion,onion
189,189,July,2013,KOLKATA ,2594,3459,27536,onion,onion
190,190,July,2013,LASALGAON,2092,2346,5580,onion,onion
191,191,July,2013,LUCKNOW,2191,2783,476,onion,onion
192,192,July,2013,MUMBAI,2206,3148,19145,onion,onion
193,193,July,2013,NAGPUR,2074,3591,2225,onion,onion
194,194,July,2013,NASIK,2211,2483,2270,onion,onion
195,195,July,2013,PATNA,2113,2988,925,onion,onion
196,196,July,2013,PIMPALGAON,2137,2391,3740,onion,onion
197,197,July,2013,PUNE ,2267,2843,29773,onion,onion
198,198,July,2013,RAIPUR,2264,2988,857,onion,onion
199,199,July,2013,RANCHI,2252,2748,3908,onion,onion
200,200,July,2013,SHIMLA,2761,3230,325,onion,onion
201,201,July,2013,SRINAGAR ,2493,2980,1900,onion,onion
202,202,July,2013,TRIVENDRUM,2580,3258,620,onion,onion
203,203,August,2013,AHMEDABAD,3430,4191,7644,onion,onion
204,204,August,2013,AMRITSAR,3505,5175,1275,onion,onion
205,205,August,2013,BANGALURU,3090,4260,46196,onion,onion
206,206,August,2013,BARAUT,3398,3857,23,onion,onion
207,207,August,2013,BHOPAL,3734,4496,999,onion,onion
208,208,August,2013,BHUBANESHWAR,4075,4525,2460,onion,onion
209,209,August,2013,CHANDIGARH,3311,4771,1466,onion,onion
210,210,August,2013,CHENNAI,4529,5700,11010,onion,onion
211,211,August,2013,DEHRADUN,3906,5260,602,onion,onion
212,212,August,2013,DELHI,3748,5000,17636,onion,onion
213,213,August,2013,GANGATOK,3075,3713,51,onion,onion
214,214,August,2013,GUWAHATI,3888,5092,845,onion,onion
215,215,August,2013,HYDERABAD,3004,4129,10836,onion,onion
216,216,August,2013,JAIPUR,2712,4844,6447,onion,onion
217,217,August,2013,JAMMU,3883,4795,847,onion,onion
218,218,August,2013,KOLKATA ,4284,5642,9808,onion,onion
219,219,August,2013,LASALGAON,3357,3732,4699,onion,onion
220,220,August,2013,LUCKNOW,3348,4404,490,onion,onion
221,221,August,2013,MUMBAI,3809,5000,9855,onion,onion
222,222,August,2013,NAGPUR,2623,5575,3890,onion,onion
223,223,August,2013,NASIK,3498,3865,2320,onion,onion
224,224,August,2013,PATNA,3865,4975,746,onion,onion
225,225,August,2013,PIMPALGAON,3491,3858,4594,onion,onion
226,226,August,2013,PUNE ,4061,4768,8824,onion,onion
227,227,August,2013,RAIPUR,3809,4790,550,onion,onion
228,228,August,2013,RANCHI,3842,4688,3540,onion,onion
229,229,August,2013,SHIMLA,4660,5417,200,onion,onion
230,230,August,2013,SRINAGAR ,3963,4537,585,onion,onion
231,231,August,2013,TRIVENDRUM,4447,5247,419,onion,onion
232,232,September,2013,AHMEDABAD,4349,5164,6877,onion,onion
233,233,September,2013,AMRITSAR,4142,6158,1310,onion,onion
234,234,September,2013,BANGALURU,3192,4588,131230,onion,onion
235,235,September,2013,BARAUT,4730,5240,25,onion,onion
236,236,September,2013,BHOPAL,3596,4404,1301,onion,onion
237,237,September,2013,BHUBANESHWAR,4378,4858,2755,onion,onion
238,238,September,2013,CHANDIGARH,3823,5827,1430,onion,onion
239,239,September,2013,CHENNAI,5204,6563,11350,onion,onion
240,240,September,2013,DEHRADUN,4593,5940,644,onion,onion
241,241,September,2013,DELHI,4567,5988,16459,onion,onion
242,242,September,2013,GANGATOK,4224,5324,61,onion,onion
243,243,September,2013,GUWAHATI,5225,6419,854,onion,onion
244,244,September,2013,HYDERABAD,3564,5064,19798,onion,onion
245,245,September,2013,JAIPUR,4088,5812,4850,onion,onion
246,246,September,2013,JAMMU,4696,5596,1317,onion,onion
247,247,September,2013,KOLKATA ,4619,6159,7770,onion,onion
248,248,September,2013,LASALGAON,4364,4885,4190,onion,onion
249,249,September,2013,LUCKNOW,4256,5452,399,onion,onion
250,250,September,2013,MUMBAI,4568,5795,14161,onion,onion
251,251,September,2013,NAGPUR,3920,6762,2640,onion,onion
252,252,September,2013,NASIK,4537,5072,3287,onion,onion
253,253,September,2013,PATNA,5012,5992,505,onion,onion
254,254,September,2013,PIMPALGAON,4400,4928,3838,onion,onion
255,255,September,2013,PUNE ,4129,4709,14847,onion,onion
256,256,September,2013,RAIPUR,4605,5660,699,onion,onion
257,257,September,2013,RANCHI,4487,5380,4515,onion,onion
258,258,September,2013,SHIMLA,5686,6440,261,onion,onion
259,259,September,2013,SRINAGAR ,5396,6067,825,onion,onion
260,260,September,2013,TRIVENDRUM,5088,6152,576,onion,onion
261,261,October,2013,AHMEDABAD,3450,5152,13009,onion,onion
262,262,October,2013,AMRITSAR,4313,6479,1510,onion,onion
263,263,October,2013,BANGALURU,3493,4748,149282,onion,onion
264,264,October,2013,BARAUT,4733,5279,25,onion,onion
265,265,October,2013,BHOPAL,3738,4492,2608,onion,onion
266,266,October,2013,BHUBANESHWAR,4610,5253,2225,onion,onion
267,267,October,2013,CHANDIGARH,3756,5688,1946,onion,onion
268,268,October,2013,CHENNAI,4676,5928,11180,onion,onion
269,269,October,2013,DEHRADUN,4964,7000,831,onion,onion
270,270,October,2013,DELHI,4413,5868,19821,onion,onion
271,271,October,2013,GANGATOK,5360,6560,58,onion,onion
272,272,October,2013,GUWAHATI,5790,6883,932,onion,onion
273,273,October,2013,HYDERABAD,2768,4136,15538,onion,onion
274,274,October,2013,JAIPUR,4509,5804,9613,onion,onion
275,275,October,2013,JAMMU,4996,5960,1045,onion,onion
276,276,October,2013,KOLKATA ,4741,6257,7366,onion,onion
277,277,October,2013,LASALGAON,4600,5232,3807,onion,onion
278,278,October,2013,LUCKNOW,4335,5438,459,onion,onion
279,279,October,2013,MUMBAI,4494,5960,16720,onion,onion
280,280,October,2013,NAGPUR,3514,6632,4000,onion,onion
281,281,October,2013,NASIK,4477,4964,3043,onion,onion
282,282,October,2013,PATNA,5315,6675,1101,onion,onion
283,283,October,2013,PIMPALGAON,4555,5170,3781,onion,onion
284,284,October,2013,PUNE ,4414,5143,15273,onion,onion
285,285,October,2013,RAIPUR,4340,5388,732,onion,onion
286,286,October,2013,RANCHI,4531,5543,3268,onion,onion
287,287,October,2013,SHIMLA,6200,7000,268,onion,onion
288,288,October,2013,SRINAGAR ,5320,5896,1042,onion,onion
289,289,October,2013,TRIVENDRUM,5460,6504,775,onion,onion
290,290,November,2013,AHMEDABAD,3061,4271,9723,onion,onion
291,291,November,2013,AMRITSAR,3408,5180,1680,onion,onion
292,292,November,2013,BANGALURU,2909,5957,84483,onion,onion
293,293,November,2013,BARAUT,3994,4464,27,onion,onion
294,294,November,2013,BHOPAL,3137,3978,1246,onion,onion
295,295,November,2013,BHUBANESHWAR,3950,4750,2470,onion,onion
296,296,November,2013,CHANDIGARH,3212,4992,1229,onion,onion
297,297,November,2013,CHENNAI,4692,5675,10980,onion,onion
298,298,November,2013,DEHRADUN,4103,5818,711,onion,onion
299,299,November,2013,DELHI,3752,5417,23685,onion,onion
300,300,November,2013,GANGATOK,5420,6864,62,onion,onion
301,301,November,2013,GUWAHATI,5144,6008,2060,onion,onion
302,302,November,2013,HYDERABAD,2296,3321,15898,onion,onion
303,303,November,2013,JAIPUR,3895,5062,7308,onion,onion
304,304,November,2013,JAMMU,4088,5084,963,onion,onion
305,305,November,2013,KOLKATA ,4016,5557,7672,onion,onion
306,306,November,2013,LASALGAON,2957,3844,13709,onion,onion
307,307,November,2013,LUCKNOW,3661,4600,896,onion,onion
308,308,November,2013,MUMBAI,3569,4917,18195,onion,onion
309,309,November,2013,NAGPUR,3306,7444,4815,onion,onion
310,310,November,2013,NASIK,3030,3505,5150,onion,onion
311,311,November,2013,PATNA,4196,5463,1765,onion,onion
312,312,November,2013,PIMPALGAON,2832,3794,13575,onion,onion
313,313,November,2013,PUNE ,3550,4611,15594,onion,onion
314,314,November,2013,RAIPUR,3614,4741,829,onion,onion
315,315,November,2013,RANCHI,4111,5292,3318,onion,onion
316,316,November,2013,SHIMLA,5429,6333,258,onion,onion
317,317,November,2013,SRINAGAR ,4679,5321,1000,onion,onion
318,318,November,2013,TRIVENDRUM,5416,6582,665,onion,onion
319,319,December,2013,AHMEDABAD,1530,1845,10534,onion,onion
320,320,December,2013,AMRITSAR,1845,2700,2370,onion,onion
321,321,December,2013,BANGALURU,1580,2496,73170,onion,onion
322,322,December,2013,BARAUT,1954,2316,35,onion,onion
323,323,December,2013,BHOPAL,1496,1880,2993,onion,onion
324,324,December,2013,BHUBANESHWAR,2165,2668,3260,onion,onion
325,325,December,2013,CHANDIGARH,1670,2544,1689,onion,onion
326,326,December,2013,CHENNAI,2560,3656,11470,onion,onion
327,327,December,2013,DEHRADUN,1896,2920,1091,onion,onion
328,328,December,2013,DELHI,1856,3492,23791,onion,onion
329,329,December,2013,GANGATOK,2640,3752,94,onion,onion
330,330,December,2013,GUWAHATI,2500,3355,5040,onion,onion
331,331,December,2013,HYDERABAD,1488,2200,17726,onion,onion
332,332,December,2013,JAIPUR,1543,2744,4963,onion,onion
333,333,December,2013,JAMMU,1965,2479,1949,onion,onion
334,334,December,2013,KOLKATA ,2315,3408,18424,onion,onion
335,335,December,2013,LASALGAON,1315,1745,34026,onion,onion
336,336,December,2013,LUCKNOW,1934,2538,1166,onion,onion
337,337,December,2013,MUMBAI,1643,2400,24115,onion,onion
338,338,December,2013,NAGPUR,2144,4800,5460,onion,onion
339,339,December,2013,NASIK,1377,1720,8985,onion,onion
340,340,December,2013,PATNA,1926,2632,2370,onion,onion
341,341,December,2013,PIMPALGAON,1299,1808,30885,onion,onion
342,342,December,2013,PUNE ,2298,3029,27813,onion,onion
343,343,December,2013,RAIPUR,1727,2632,1506,onion,onion
344,344,December,2013,RANCHI,1969,2540,5080,onion,onion
345,345,December,2013,SHIMLA,2446,3104,431,onion,onion
346,346,December,2013,SRINAGAR ,2578,3070,1665,onion,onion
347,347,December,2013,TRIVENDRUM,2705,3573,960,onion,onion
348,0,January,2014,AHMEDABAD,1083,1450,12719,onion,onion
349,1,January,2014,AMRITSAR,1283,2000,4705,onion,onion
350,2,January,2014,BANGALURU,1118,1844,63193,onion,onion
351,3,January,2014,BARAUT,1385,1735,39,onion,onion
352,4,January,2014,BHOPAL,746,973,3635,onion,onion
353,5,January,2014,BHUBANESHWAR,1500,1963,3655,onion,onion
354,6,January,2014,CHANDIGARH,1291,2024,1677,onion,onion
355,7,January,2014,CHENNAI,1471,2371,16510,onion,onion
356,8,January,2014,DEHRADUN,1021,2089,686,onion,onion
357,9,January,2014,DELHI,1274,2196,21078,onion,onion
358,10,January,2014,GANGATOK,2123,2650,113,onion,onion
359,11,January,2014,GUWAHATI,1629,2271,4195,onion,onion
360,12,January,2014,HYDERABAD,844,1428,17998,onion,onion
361,13,January,2014,JAIPUR,1081,1852,5722,onion,onion
362,14,January,2014,JAMMU,1394,1885,2457,onion,onion
363,15,January,2014,KOLKATA,1488,2444,45160,onion,onion
364,16,January,2014,LASALGAON,985,1422,36326,onion,onion
365,17,January,2014,LUCKNOW,1348,1737,696,onion,onion
366,18,January,2014,MUMBAI,1140,1952,26140,onion,onion
367,19,January,2014,NAGPUR,1107,2753,5886,onion,onion
368,20,January,2014,NASIK,1092,1375,7325,onion,onion
369,21,January,2014,PATNA,1396,2044,3880,onion,onion
370,22,January,2014,PIMPALGAON,966,1403,24210,onion,onion
371,23,January,2014,PUNE,1084,1642,47631,onion,onion
372,24,January,2014,RAIPUR,1248,1908,1626,onion,onion
373,25,January,2014,RANCHI,1348,1840,5370,onion,onion
374,26,January,2014,SHIMLA,1438,2000,586,onion,onion
375,27,January,2014,SRINAGAR,2072,2543,1620,onion,onion
376,28,January,2014,TRIVENDRUM,1808,2523,1165,onion,onion
377,29,February,2014,AHMEDABAD,728,1229,14512,onion,onion
378,30,February,2014,AMRITSAR,946,1550,5835,onion,onion
379,31,February,2014,BANGALURU,794,1408,53344,onion,onion
380,32,February,2014,BARAUT,1200,1560,31,onion,onion
381,33,February,2014,BHOPAL,713,911,2576,onion,onion
382,34,February,2014,BHUBANESHWAR,1076,1498,4160,onion,onion
383,35,February,2014,CHANDIGARH,1254,1850,1717,onion,onion
384,36,February,2014,CHENNAI,1300,1942,12520,onion,onion
385,37,February,2014,DEHRADUN,1169,2000,489,onion,onion
386,38,February,2014,DELHI,952,2035,21236,onion,onion
387,39,February,2014,GANGATOK,1775,2213,119,onion,onion
388,40,February,2014,GUWAHATI,1226,1893,6800,onion,onion
389,41,February,2014,HYDERABAD,609,1136,14866,onion,onion
390,42,February,2014,JAIPUR,919,1558,9362,onion,onion
391,43,February,2014,JAMMU,1123,1554,3084,onion,onion
392,44,February,2014,KOLKATA,1189,2023,37856,onion,onion
393,45,February,2014,LASALGAON,736,1038,23906,onion,onion
394,46,February,2014,LUCKNOW,1117,1513,1037,onion,onion
395,47,February,2014,MUMBAI,736,1082,25475,onion,onion
396,48,February,2014,NAGPUR,859,1816,4110,onion,onion
397,49,February,2014,NASIK,834,1088,5845,onion,onion
398,50,February,2014,PATNA,1144,1817,1795,onion,onion
399,51,February,2014,PIMPALGAON,692,1023,14191,onion,onion
400,52,February,2014,PUNE,660,905,60148,onion,onion
401,53,February,2014,RAIPUR,967,1535,1481,onion,onion
402,54,February,2014,RANCHI,1225,1617,5325,onion,onion
403,55,February,2014,SHIMLA,1639,2000,425,onion,onion
404,56,February,2014,SRINAGAR,1644,2095,1810,onion,onion
405,57,February,2014,TRIVENDRUM,1413,2000,1118,onion,onion
406,58,March,2014,AHMEDABAD,808,1292,17399,onion,onion
407,59,March,2014,AMRITSAR,1078,1605,3800,onion,onion
408,60,March,2014,BANGALURU,747,1325,67468,onion,onion
409,61,March,2014,BARAUT,1388,1742,26,onion,onion
410,62,March,2014,BHOPAL,708,908,3491,onion,onion
411,63,March,2014,BHUBANESHWAR,1206,1517,4870,onion,onion
412,64,March,2014,CHANDIGARH,1245,1892,1785,onion,onion
413,65,March,2014,CHENNAI,1280,1848,12650,onion,onion
414,66,March,2014,DEHRADUN,1187,2000,906,onion,onion
415,67,March,2014,DELHI,1132,1708,24406,onion,onion
416,68,March,2014,GANGATOK,2128,2544,129,onion,onion
417,69,March,2014,GUWAHATI,1308,1976,3990,onion,onion
418,70,March,2014,HYDERABAD,635,1022,15652,onion,onion
419,71,March,2014,JAIPUR,960,1541,12730,onion,onion
420,72,March,2014,JAMMU,1257,1700,3170,onion,onion
421,73,March,2014,KOLKATA,1146,1828,15072,onion,onion
422,74,March,2014,LASALGAON,819,1141,18855,onion,onion
423,75,March,2014,LUCKNOW,1181,1624,2594,onion,onion
424,76,March,2014,MUMBAI,847,1137,19500,onion,onion
425,77,March,2014,NAGPUR,977,1535,6930,onion,onion
426,78,March,2014,NASIK,856,1114,5980,onion,onion
427,79,March,2014,PATNA,1149,1892,2900,onion,onion
428,80,March,2014,PIMPALGAON,772,1113,8902,onion,onion
429,81,March,2014,PUNE,749,1024,54528,onion,onion
430,82,March,2014,RAIPUR,1051,1610,1124,onion,onion
431,83,March,2014,RANCHI,1189,1588,5666,onion,onion
432,84,March,2014,SHIMLA,1510,2000,529,onion,onion
433,85,March,2014,SRINAGAR,1557,2091,2205,onion,onion
434,86,March,2014,TRIVENDRUM,1399,2018,1010,onion,onion
435,87,April,2014,AHMEDABAD,785,1265,13171,onion,onion
436,88,April,2014,AMRITSAR,1107,1800,3055,onion,onion
437,89,April,2014,BANGALURU,743,1377,63059,onion,onion
438,90,April,2014,BARAUT,0,0,0,onion,onion
439,91,April,2014,BHOPAL,650,841,3210,onion,onion
440,92,April,2014,BHUBANESHWAR,1224,1579,4595,onion,onion
441,93,April,2014,CHANDIGARH,1124,1825,1472,onion,onion
442,94,April,2014,CHENNAI,1323,1900,10590,onion,onion
443,95,April,2014,DEHRADUN,1183,2000,807,onion,onion
444,96,April,2014,DELHI,1232,1827,22407,onion,onion
445,97,April,2014,GANGATOK,1991,2373,98,onion,onion
446,98,April,2014,GUWAHATI,1259,1942,3700,onion,onion
447,99,April,2014,HYDERABAD,547,872,14390,onion,onion
448,100,April,2014,JAIPUR,935,1550,7589,onion,onion
